type,assignee,createdAt,created_at_epoch,description,comments,id,url
New Feature,Noah Nordrum,11/Jun/07 19:07,1181588820,"If you have a route that goes through a processor that is expensive, you may want to pool that processor so it's not holding up the rest of the route.Configuration could look as such:from(""activemq:queue:SOMETHING"").pool(5 [min], 15 [max]).process(newExpensiveMessageEnricher()).to(""activemq:queue:SOMEWHERE_ELSE"");
or
from(""activemq:queue:SOMETHING"").process(newExpensiveMessageEnricher()).pool(5 [min], 15 [max]).to(""activemq:queue:SOMEWHERE_ELSE"");I'm not sure exactly how these would differ, but I think the first one would have 5-15 MQ queue listeners, which would all go through 1 EME, and then through 1 mq producer, and the second would have 1 mq listener that would dispatch to one of the 5-15 EME threads (if available?, not sure if that level of interaction between steps is good), and then go through 1 mq producer.Seems like the first would be the better option as I write this...Notes from IRC convo with James:first thought is; we might wanna wrap a Producer in a factory thingy that does pooling (e.g. like the way spring does pooling using interceptors etc); but that the pool part could be done wherever a Processor can be used",[],14,https://issues.apache.org/jira/browse/CAMEL-14
New Feature,James Strachan,12/Jun/07 19:16,1181675760,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:17"", ""created_at_epoch"": 1181675820, ""text"": ""implemented.""}]",15,https://issues.apache.org/jira/browse/CAMEL-15
New Feature,James Strachan,12/Jun/07 19:24,1181676240,Be able to send and receive exchanges from JMS endpoints.,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:24"", ""created_at_epoch"": 1181676240, ""text"": ""implemented.""}]",16,https://issues.apache.org/jira/browse/CAMEL-16
New Feature,James Strachan,12/Jun/07 19:37,1181677020,Provide a declarative way to correlate the multiple process actions related to business activity and generate monitoring events when pocessing constraints are violated.,[],17,https://issues.apache.org/jira/browse/CAMEL-17
New Feature,James Strachan,12/Jun/07 19:40,1181677200,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:40"", ""created_at_epoch"": 1181677200, ""text"": ""implemented.""}]",18,https://issues.apache.org/jira/browse/CAMEL-18
New Feature,James Strachan,12/Jun/07 19:45,1181677500,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:45"", ""created_at_epoch"": 1181677500, ""text"": ""implemented.""}]",19,https://issues.apache.org/jira/browse/CAMEL-19
New Feature,Hiram R. Chirino,12/Jun/07 19:47,1181677620,Allows for subsequent Exchange processors to work with an exchanages that has a Pojo based body.,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:48"", ""created_at_epoch"": 1181677680, ""text"": ""The JaxbConverter has been implemented but I have not seen any use cases for it.""}, {""author"": ""James Strachan"", ""created_at"": ""30/Jul/07 16:52"", ""created_at_epoch"": 1185814320, ""text"": ""the camel-jaxb module now has a FaillbackTypeConverter so that any POJO which has an @XmlRootElement is automatically convertable to a stream/Source/Result/Document etc.However we should also add some JaxbMarshaller plugin so that if a POJO does not have any JAXB annotations we can still use a JAXB conversion""}, {""author"": ""James Strachan"", ""created_at"": ""11/Oct/07 18:29"", ""created_at_epoch"": 1192127340, ""text"": ""see theData Format supportsuch as forJAXB""}]",20,https://issues.apache.org/jira/browse/CAMEL-20
New Feature,James Strachan,12/Jun/07 19:50,1181677800,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 19:50"", ""created_at_epoch"": 1181677800, ""text"": ""implemented.""}]",21,https://issues.apache.org/jira/browse/CAMEL-21
New Feature,James Strachan,12/Jun/07 19:53,1181677980,,[],22,https://issues.apache.org/jira/browse/CAMEL-22
New Feature,James Strachan,12/Jun/07 19:56,1181678160,"The jpa: component allows you to work with databases using JPA (EJB 3 Persistence) such as for working with OpenJPA, Hibernate, TopLink to work with relational databases.Sending POJOs to the JPA endpoint inserts entities into the database. Consuming messages removes (or updates) entities in the database.",[],23,https://issues.apache.org/jira/browse/CAMEL-23
New Feature,James Strachan,12/Jun/07 19:58,1181678280,,[],24,https://issues.apache.org/jira/browse/CAMEL-24
New Feature,James Strachan,12/Jun/07 20:02,1181678520,,[],25,https://issues.apache.org/jira/browse/CAMEL-25
New Feature,James Strachan,12/Jun/07 20:03,1181678580,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:04"", ""created_at_epoch"": 1181678640, ""text"": ""implemented. see:http://activemq.apache.org/camel/mail.html""}]",26,https://issues.apache.org/jira/browse/CAMEL-26
New Feature,James Strachan,12/Jun/07 20:04,1181678640,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:04"", ""created_at_epoch"": 1181678640, ""text"": ""implemented. see:http://activemq.apache.org/camel/mail.html""}]",27,https://issues.apache.org/jira/browse/CAMEL-27
New Feature,James Strachan,12/Jun/07 20:06,1181678760,,[],28,https://issues.apache.org/jira/browse/CAMEL-28
New Feature,James Strachan,12/Jun/07 20:08,1181678880,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:23"", ""created_at_epoch"": 1181679780, ""text"": ""implemented:http://activemq.apache.org/camel/quartz.html""}]",29,https://issues.apache.org/jira/browse/CAMEL-29
New Feature,James Strachan,12/Jun/07 20:09,1181678940,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:09"", ""created_at_epoch"": 1181678940, ""text"": ""implemented.  See:http://activemq.apache.org/camel/rmi.html""}]",30,https://issues.apache.org/jira/browse/CAMEL-30
New Feature,James Strachan,12/Jun/07 20:11,1181679060,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:11"", ""created_at_epoch"": 1181679060, ""text"": ""implemented.""}]",31,https://issues.apache.org/jira/browse/CAMEL-31
New Feature,James Strachan,12/Jun/07 20:13,1181679180,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:13"", ""created_at_epoch"": 1181679180, ""text"": ""implemented.""}]",32,https://issues.apache.org/jira/browse/CAMEL-32
New Feature,James Strachan,12/Jun/07 20:14,1181679240,,[],33,https://issues.apache.org/jira/browse/CAMEL-33
New Feature,James Strachan,12/Jun/07 20:16,1181679360,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:17"", ""created_at_epoch"": 1181679420, ""text"": ""implemented.  See the JMS component for a use case.""}]",34,https://issues.apache.org/jira/browse/CAMEL-34
New Feature,James Strachan,12/Jun/07 20:19,1181679540,Provide a spring remoting implemenation that can invoke Camel PojoExchanges and expose Spring pojos as via PojoExchanges on the camel router.,[],35,https://issues.apache.org/jira/browse/CAMEL-35
Task,James Strachan,12/Jun/07 20:20,1181679600,,[],36,https://issues.apache.org/jira/browse/CAMEL-36
New Feature,James Strachan,12/Jun/07 20:22,1181679720,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:22"", ""created_at_epoch"": 1181679720, ""text"": ""implemented:http://activemq.apache.org/camel/xmpp.html""}]",37,https://issues.apache.org/jira/browse/CAMEL-37
New Feature,James Strachan,12/Jun/07 20:35,1181680500,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:36"", ""created_at_epoch"": 1181680560, ""text"": ""implemented. see:http://activemq.apache.org/camel/direct.html""}]",38,https://issues.apache.org/jira/browse/CAMEL-38
New Feature,Hiram R. Chirino,12/Jun/07 20:38,1181680680,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:38"", ""created_at_epoch"": 1181680680, ""text"": ""implemented. See:http://activemq.apache.org/camel/file.html""}]",39,https://issues.apache.org/jira/browse/CAMEL-39
New Feature,James Strachan,12/Jun/07 20:40,1181680800,,[],40,https://issues.apache.org/jira/browse/CAMEL-40
New Feature,Hiram R. Chirino,12/Jun/07 20:41,1181680860,,[],41,https://issues.apache.org/jira/browse/CAMEL-41
New Feature,Hiram R. Chirino,12/Jun/07 20:43,1181680980,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:43"", ""created_at_epoch"": 1181680980, ""text"": ""implemented.  see:http://activemq.apache.org/camel/queue.html""}]",42,https://issues.apache.org/jira/browse/CAMEL-42
New Feature,James Strachan,12/Jun/07 20:44,1181681040,,[],43,https://issues.apache.org/jira/browse/CAMEL-43
New Feature,James Strachan,12/Jun/07 20:47,1181681220,,"[{""author"": ""Hiram R. Chirino"", ""created_at"": ""12/Jun/07 20:48"", ""created_at_epoch"": 1181681280, ""text"": ""implemented.See:http://activemq.apache.org/camel/dsl.html""}]",44,https://issues.apache.org/jira/browse/CAMEL-44
New Feature,James Strachan,13/Jun/07 18:31,1181759460,,"[{""author"": ""Willem Jiang"", ""created_at"": ""31/Jul/07 08:51"", ""created_at_epoch"": 1185871860, ""text"": ""we could add a demo to show how to combine the CXF with camle""}, {""author"": ""Willem Jiang"", ""created_at"": ""28/Sep/07 04:21"", ""created_at_epoch"": 1190953260, ""text"": ""This patch contains a demo to show how to use came as a port router of webservice.""}, {""author"": ""Willem Jiang"", ""created_at"": ""28/Sep/07 06:44"", ""created_at_epoch"": 1190961840, ""text"": ""Just fixed a cxf producer client create bug.Please use this patch file.""}, {""author"": ""James Strachan"", ""created_at"": ""01/Oct/07 14:07"", ""created_at_epoch"": 1191247620, ""text"": ""Patch applied - though it needs documentation - could you edit this page please to add a link to the CXF example?http://activemq.apache.org/camel/examples.htmlI get this log when I try and run it - is that expected?...Hello there jstrachan01-Oct-2007 15:02:13 org.apache.cxf.transport.jms.JMSDestination$JMSExecutor runINFO: run the incoming message in the threadpool01-Oct-2007 15:02:13 org.apache.camel.example.cxf.GreeterImpl pingMeINFO: Executing operation pingMe, throwing PingMeFault exception, message = helloExecuting operation pingMe, throwing PingMeFault exception01-Oct-2007 15:02:13 org.apache.cxf.phase.PhaseInterceptorChain doInterceptINFO: Interceptor has thrown exception, unwinding noworg.apache.cxf.interceptor.Fault: PingMeFault raised by serverat org.apache.cxf.service.invoker.AbstractInvoker.createFault(AbstractInvoker.java:101)at org.apache.cxf.jaxws.JAXWSMethodInvoker.createFault(JAXWSMethodInvoker.java:76)at org.apache.cxf.service.invoker.AbstractInvoker.invoke(AbstractInvoker.java:90)at org.apache.cxf.jaxws.JAXWSMethodInvoker.invoke(JAXWSMethodInvoker.java:100)at org.apache.cxf.service.invoker.AbstractInvoker.invoke(AbstractInvoker.java:63)at org.apache.cxf.interceptor.ServiceInvokerInterceptor$1.run(ServiceInvokerInterceptor.java:56)at org.apache.cxf.workqueue.SynchronousExecutor.execute(SynchronousExecutor.java:37)at org.apache.cxf.interceptor.ServiceInvokerInterceptor.handleMessage(ServiceInvokerInterceptor.java:92)at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207)at org.apache.cxf.transport.ChainInitiationObserver.onMessage(ChainInitiationObserver.java:73)at org.apache.cxf.transport.jms.JMSDestination.incoming(JMSDestination.java:200)at org.apache.cxf.transport.jms.JMSDestination$JMSExecutor.run(JMSDestination.java:331)at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:650)at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:675)at java.lang.Thread.run(Thread.java:613)Caused by: org.apache.hello_world_soap_http.PingMeFault: PingMeFault raised by serverat org.apache.camel.example.cxf.GreeterImpl.pingMe(GreeterImpl.java:69)at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)at java.lang.reflect.Method.invoke(Method.java:585)at org.apache.cxf.service.invoker.AbstractInvoker.performInvocation(AbstractInvoker.java:107)at org.apache.cxf.service.invoker.AbstractInvoker.invoke(AbstractInvoker.java:77)... 12 more01-Oct-2007 15:02:13 org.apache.cxf.phase.PhaseInterceptorChain doInterceptINFO: Interceptor has thrown exception, unwinding noworg.apache.cxf.interceptor.Fault: PingMeFault raised by serverat org.apache.camel.component.cxf.CamelInvoker.invoke(CamelInvoker.java:171)at org.apache.cxf.interceptor.ServiceInvokerInterceptor$1.run(ServiceInvokerInterceptor.java:56)at org.apache.cxf.workqueue.SynchronousExecutor.execute(SynchronousExecutor.java:37)at org.apache.cxf.interceptor.ServiceInvokerInterceptor.handleMessage(ServiceInvokerInterceptor.java:92)at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207)at org.apache.cxf.transport.ChainInitiationObserver.onMessage(ChainInitiationObserver.java:73)at org.apache.cxf.transport.http_jetty.JettyHTTPDestination.serviceRequest(JettyHTTPDestination.java:268)at org.apache.cxf.transport.http_jetty.JettyHTTPDestination.doService(JettyHTTPDestination.java:224)at org.apache.cxf.transport.http_jetty.JettyHTTPHandler.handle(JettyHTTPHandler.java:54)at org.mortbay.jetty.handler.ContextHandler.handle(ContextHandler.java:712)at org.mortbay.jetty.handler.ContextHandlerCollection.handle(ContextHandlerCollection.java:211)at org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:139)at org.mortbay.jetty.Server.handle(Server.java:313)at org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:506)at org.mortbay.jetty.HttpConnection$RequestHandler.content(HttpConnection.java:844)at org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:726)at org.mortbay.jetty.HttpParser.parseAvailable(HttpParser.java:211)at org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:381)at org.mortbay.io.nio.SelectChannelEndPoint.run(SelectChannelEndPoint.java:396)at org.mortbay.thread.BoundedThreadPool$PoolThread.run(BoundedThreadPool.java:475)Caused by: org.apache.hello_world_soap_http.PingMeFault: PingMeFault raised by serverat sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:39)at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:27)at java.lang.reflect.Constructor.newInstance(Constructor.java:494)at org.apache.cxf.interceptor.ClientFaultConverter.processFaultDetail(ClientFaultConverter.java:125)at org.apache.cxf.interceptor.ClientFaultConverter.handleMessage(ClientFaultConverter.java:68)at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207)at org.apache.cxf.interceptor.AbstractFaultChainInitiatorObserver.onMessage(AbstractFaultChainInitiatorObserver.java:90)at org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(ReadHeadersInterceptor.java:179)at org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(ReadHeadersInterceptor.java:56)at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207)at org.apache.cxf.endpoint.ClientImpl.onMessage(ClientImpl.java:395)at org.apache.cxf.transport.jms.JMSConduit$JMSOutputStream.handleResponse(JMSConduit.java:375)at org.apache.cxf.transport.jms.JMSConduit$JMSOutputStream.doClose(JMSConduit.java:256)at org.apache.cxf.io.CachedOutputStream.close(CachedOutputStream.java:119)at org.apache.cxf.transport.AbstractConduit.close(AbstractConduit.java:66)at org.apache.cxf.interceptor.MessageSenderInterceptor$MessageSenderEndingInterceptor.handleMessage(MessageSenderInterceptor.java:62)at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207)at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:254)at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:205)at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:180)at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:200)at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:186)at org.apache.camel.component.cxf.CxfProducer.process(CxfProducer.java:152)at org.apache.camel.component.cxf.CxfProducer.process(CxfProducer.java:136)at org.apache.camel.impl.converter.AsyncProcessorTypeConverter$ProcessorToAsynProcessorBridge.process(AsyncProcessorTypeConverter.java:44)at org.apache.camel.processor.SendProcessor.process(SendProcessor.java:73)at org.apache.camel.processor.DeadLetterChannel.process(DeadLetterChannel.java:136)at org.apache.camel.processor.DeadLetterChannel.process(DeadLetterChannel.java:86)at org.apache.camel.util.AsyncProcessorHelper.process(AsyncProcessorHelper.java:44)at org.apache.camel.processor.DeadLetterChannel.process(DeadLetterChannel.java:174)at org.apache.camel.component.cxf.CamelInvoker.invoke(CamelInvoker.java:161)... 19 moreExpected exception: PingMeFault has occurred: PingMeFault raised by server""}, {""author"": ""Willem Jiang"", ""created_at"": ""01/Oct/07 14:37"", ""created_at_epoch"": 1191249420, ""text"": ""Yes, the exception is expected.""}, {""author"": ""James Strachan"", ""created_at"": ""11/Oct/07 18:31"", ""created_at_epoch"": 1192127460, ""text"": ""gonna mark this as resolved as we've quite a few examples now""}]",45,https://issues.apache.org/jira/browse/CAMEL-45
